mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales
337251.26,16822.56,31330.42,2594.08,109302.59,71861.31,9609.29,65567.41,264341.8,769217.81,127073880.4
1474481.78,35924.52,18177.57,4905.79,160122.2,120443.66,25306.58,60383.86,284508.48,461027.02,67672459.41
345688.18,105262.19,118178.53,4378.56,71526.49,66199.08,21423.35,93006.99,158879.82,703230.01,124073331.4
587199.26,24994.76,117617.59,4874.89,121327.42,198491.68,56138.94,129480.69,281687.62,717622.37,112436155.1
67191.78,70981.43,67898.37,5521.59,180033.45,65282.2,16491.06,132336.46,270906.27,630647.79,68505073.43
1148043.82,19711.54,7763.45,2848.39,72725.66,30639.02,20255.34,70831.2,242894.34,366495.04,89370191.65
660338.72,45647.24,35660.82,1390.93,25088.19,37274.77,19030.86,86829.12,237939.99,510237.91,135435178.3
877154.1,39307.69,52021.47,3548.7,90468.93,201340.57,32809.68,61858.01,304838.68,1202894.7,82601539.99
508618.45,61208.05,120315.17,3765.4,133871.26,251405.41,30105.29,153491.86,293172.92,755784.64,88817326
1228916.78,36542.61,68792.51,1209.4,74527.5,100948.27,11171.54,92318.08,130837.84,504709.72,110955881.8
462110.32,52510.69,48855.03,4671.22,216540.78,126678.67,14977.91,143538.32,141746.68,676881.4,66713703.48
245933.3,56545.36,30124.17,6730.72,60987.3,82369.17,11403,140559.87,197599.31,488594.32,126855437.7
722389.05,87484.46,24938.28,4435.52,91044.83,81592.07,12830.7,158190.64,357704.95,370510.88,62043461.44
527098.78,111906.61,36235.89,7716.68,119288.03,489600.39,34380.74,173940.66,423806,781041.25,87506384.26
569171.64,30788.2,6764.13,3146.88,118251.89,33450.42,5709.74,89624.25,189096.01,671720.53,103684251.9
18125.4,84124.87,66689.5,5648.49,187124.6,66769.64,12844.2,167519.91,178468.3,411612.21,102726814.4
367222.52,41986.8,64350.92,7574.07,146068.5,80983.44,10929.89,147600.18,111767.86,698709.17,68125799.04
14752.73,45865.28,19187.11,4205.75,88244.91,50895.19,17100.23,75520.86,210932.49,625994.6,107831379.5
885887.34,26992.01,4465.39,3811.05,58469.19,10691.23,6840.09,76186.31,204585.88,287412.84,55684791.55
629135.52,31054.83,7298.93,8321.18,88317.56,9015.84,1591.3,99915.69,121218.53,362756.02,54010896.88
598897.06,69033.34,91445.93,2867.47,130388.08,93093.76,17910.58,72887.43,170322.05,725328.85,114221272.3
